0357T,cryopreservation oocyte(s)
P3001,Screening pap smear by phys
90630,Flu vacc iiv4 no preserv id
90654,"Flu vaccine no preserv, ID"
90655,Flu vaccine no preserv 6-35m
90656,Flu vaccine no preserv 3 & >
90657,Flu vaccine 3 yrs im
90660,Flu vaccine nasal
90661,Flu vacc cell cult prsv free
90662,Flu vacc prsv free inc antig
90670,Pneumococcal vacc 13 val im
90672,Flu vaccine 4 valent nasal
90673,Flu vacc RIV3 no preserv
90685,Flu vac no prsv 4 val 6-35 m
90686,Flu vac no prsv 4 val 3 yrs+
90688,Flu vacc 4 val 3 yrs plus im  
90732,Pneumococcal vaccine
90740,Hepb vacc ill pat 3 dose im
90743,Hep b vacc adol 2 dose im
90744,Hepb vacc ped/adol 3 dose im
90746,Hep b vaccine adult im
90747,Hepb vacc ill pat 4 dose im
Q2034,Agriflu vaccine
Q2035,"Afluria vacc, 3 yrs & >, im"
Q2036,"Flulaval vacc, 3 yrs & >, im"
Q2037,"Fluvirin vacc, 3 yrs & >, im"
Q2038,"Fluzone vacc, 3 yrs & >, im"
Q2039,"NOS flu vacc, 3 yrs & >, im"
0001,Therapeutic ultrasound of vessels of head and neck
0002,Therapeutic ultrasound of heart
0003,Therapeutic ultrasound of peripheral vascular vessels
0009,Other therapeutic ultrasound
0010,Implantation of chemotherapeutic agent
0011,Infusion of drotrecogin alfa (activated)
0012,Administration of inhaled nitric oxide
0013,Injection or infusion of nesiritide
0014,Injection or infusion of oxazolidinone class of antibiotics
0015,High-dose infusion interleukin-2 [IL-2]
0016,Pressurized treatment of venous bypass graft [conduit] with pharmaceutical substance
0017,Infusion of vasopressor agent
0018,Infusion of immunosuppressive antibody therapy
0019,Disruption of blood brain barrier via infusion [BBBD]
0021,Intravascular imaging of extracranial cerebral vessels
0022,Intravascular imaging of intrathoracic vessels
0023,Intravascular imaging of peripheral vessels
0024,Intravascular imaging of coronary vessels
0025,Intravascular imaging of renal vessels
0028,"Intravascular imaging, other specified vessel(s)"
0029,"Intravascular imaging, unspecified vessel(s)"
0031,Computer assisted surgery with CT/CTA
0032,Computer assisted surgery with MR/MRA
0033,Computer assisted surgery with fluoroscopy
0034,Imageless computer assisted surgery
0035,Computer assisted surgery with multiple datasets
0039,Other computer assisted surgery
0040,Procedure on single vessel
0041,Procedure on two vessels
0042,Procedure on three vessels
0043,Procedure on four or more vessels
0044,Procedure on vessel bifurcation
0045,Insertion of one vascular stent
0046,Insertion of two vascular stents
0047,Insertion of three vascular stents
0048,Insertion of four or more vascular stents
0049,Supersaturated oxygen therapy
0050,"Implantation of cardiac resynchronization pacemaker without mention of defibrillation, total system [CRT-P]"
0051,"Implantation of cardiac resynchronization defibrillator, total system [CRT-D]"
0052,Implantation or replacement of transvenous lead [electrode] into left ventricular coronary venous system
0053,Implantation or replacement of cardiac resynchronization pacemaker pulse generator only [CRT-P]
0054,Implantation or replacement of cardiac resynchronization defibrillator pulse generator only [CRT-D]
0055,Insertion of drug-eluting stent(s) of other peripheral vessel(s)
0056,Insertion or replacement of implantable pressure sensor with lead for intracardiac or great vessel hemodynamic monitoring
0057,Implantation or replacement of subcutaneous device for intracardiac or great vessel hemodynamic monitoring
0058,Insertion of intra-aneurysm sac pressure monitoring device (intraoperative)
0059,Intravascular pressure measurement of coronary arteries
0060,Insertion of drug-eluting stent(s) of superficial femoral artery
0061,Percutaneous angioplasty of extracranial vessel(s)
0062,Percutaneous angioplasty of intracranial vessel(s)
0063,Percutaneous insertion of carotid artery stent(s)
0064,Percutaneous insertion of other extracranial artery stent(s)
0065,Percutaneous insertion of intracranial vascular stent(s)
0066,Percutaneous transluminal coronary angioplasty [PTCA]
0067,Intravascular pressure measurement of intrathoracic arteries
0068,Intravascular pressure measurement of peripheral arteries
0069,"Intravascular pressure measurement, other specified and unspecified vessels"
0070,"Revision of hip replacement, both acetabular and femoral components"
0071,"Revision of hip replacement, acetabular component"
0072,"Revision of hip replacement, femoral component"
0073,"Revision of hip replacement, acetabular liner and/or femoral head only"
0074,"Hip bearing surface, metal-on-polyethylene"
0075,"Hip bearing surface, metal-on-metal"
0076,"Hip bearing surface, ceramic-on-ceramic"
0077,"Hip bearing surface, ceramic-on-polyethylene"
0080,"Revision of knee replacement, total (all components)"
0081,"Revision of knee replacement, tibial component"
0082,"Revision of knee replacement, femoral component"
0083,"Revision of knee replacement, patellar component"
0084,"Revision of total knee replacement, tibial insert (liner)"
0085,"Resurfacing hip, total, acetabulum and femoral head"
0086,"Resurfacing hip, partial, femoral head"
0087,"Resurfacing hip, partial, acetabulum"
0091,Transplant from live related donor
0092,Transplant from live non-related donor
0093,Transplant from cadaver
0094,Intra-operative neurophysiologic monitoring
0095,Injection or infusion of glucarpidase
0096,Infusion of 4-Factor Prothrombin Complex Concentrate
0101,Cisternal puncture
0102,Ventriculopuncture through previously implanted catheter
0109,Other cranial puncture
0110,Intracranial pressure monitoring
0111,Closed [percutaneous] [needle] biopsy of cerebral meninges
0112,Open biopsy of cerebral meninges
0113,Closed [percutaneous] [needle] biopsy of brain
0114,Open biopsy of brain
0115,Biopsy of skull
0116,Intracranial oxygen monitoring
0117,Brain temperature monitoring
0118,Other diagnostic procedures on brain and cerebral meninges
0119,Other diagnostic procedures on skull
0120,Cranial implantation or replacement of neurostimulator pulse generator
0121,Incision and drainage of cranial sinus
0122,Removal of intracranial neurostimulator lead(s)
0123,Reopening of craniotomy site
0124,Other craniotomy
0125,Other craniectomy
0126,Insertion of catheter(s) into cranial cavity or tissue
0127,Removal of catheter(s) from cranial cavity or tissue
0128,Placement of intracerebral catheter(s) via burr hole(s)
0129,Removal of cranial neurostimulator pulse generator
0131,Incision of cerebral meninges
0132,Lobotomy and tractotomy
0139,Other incision of brain
0141,Operations on thalamus
0142,Operations on globus pallidus
0151,Excision of lesion or tissue of cerebral meninges
0152,Hemispherectomy
0153,Lobectomy of brain
0159,Other excision or destruction of lesion or tissue of brain
016,Excision of lesion of skull
0201,Opening of cranial suture
0202,Elevation of skull fracture fragments
0203,Formation of cranial bone flap
0204,Bone graft to skull
0205,Insertion of skull plate
0206,Other cranial osteoplasty
0207,Removal of skull plate
0211,Simple suture of dura mater of brain
0212,Other repair of cerebral meninges
0213,Ligation of meningeal vessel
0214,Choroid plexectomy
0221,Insertion or replacement of external ventricular drain [EVD]
0222,Intracranial ventricular shunt or anastomosis
0231,Ventricular shunt to structure in head and neck
0232,Ventricular shunt to circulatory system
0233,Ventricular shunt to thoracic cavity
0234,Ventricular shunt to abdominal cavity and organs
0235,Ventricular shunt to urinary system
0239,Ventricular shunt to extracranial site NEC
0241,Irrigation and exploration of ventricular shunt
0242,Replacement of ventricular shunt
0243,Removal of ventricular shunt
0291,Lysis of cortical adhesions
0292,Repair of brain
0293,Implantation or replacement of intracranial neurostimulator lead(s)
0294,Insertion or replacement of skull tongs or halo traction device
0295,Removal of skull tongs or halo traction device
0296,Insertion of sphenoidal electrodes
0299,"Other operations on skull, brain, and cerebral meninges"
0301,Removal of foreign body from spinal canal
0302,Reopening of laminectomy site
0309,Other exploration and decompression of spinal canal
031,Division of intraspinal nerve root
0321,Percutaneous chordotomy
0329,Other chordotomy
0331,Spinal tap
0332,Biopsy of spinal cord or spinal meninges
0339,Other diagnostic procedures on spinal cord and spinal canal structures
034,Excision or destruction of lesion of spinal cord or spinal meninges
0351,Repair of spinal meningocele
0352,Repair of spinal myelomeningocele
0353,Repair of vertebral fracture
0359,Other repair and plastic operations on spinal cord structures
036,Lysis of adhesions of spinal cord and nerve roots
0371,Spinal subarachnoid-peritoneal shunt
0372,Spinal subarachnoid-ureteral shunt
0379,Other shunt of spinal theca
038,Injection of destructive agent into spinal canal
0390,Insertion of catheter into spinal canal for infusion of therapeutic or palliative substances
0391,Injection of anesthetic into spinal canal for analgesia
0392,Injection of other agent into spinal canal
0393,Implantation or replacement of spinal neurostimulator lead(s)
0394,Removal of spinal neurostimulator lead(s)
0395,Spinal blood patch
0396,Percutaneous denervation of facet
0397,Revision of spinal thecal shunt
0398,Removal of spinal thecal shunt
0399,Other operations on spinal cord and spinal canal structures
0401,Excision of acoustic neuroma
0402,Division of trigeminal nerve
0403,Division or crushing of other cranial and peripheral nerves
0404,Other incision of cranial and peripheral nerves
0405,Gasserian ganglionectomy
0406,Other cranial or peripheral ganglionectomy
0407,Other excision or avulsion of cranial and peripheral nerves
0411,Closed [percutaneous] [needle] biopsy of cranial or peripheral nerve or ganglion
0412,Open biopsy of cranial or peripheral nerve or ganglion
0419,Other diagnostic procedures on cranial and peripheral nerves and ganglia
042,Destruction of cranial and peripheral nerves
043,Suture of cranial and peripheral nerves
0441,Decompression of trigeminal nerve root
0442,Other cranial nerve decompression
0443,Release of carpal tunnel
0444,Release of tarsal tunnel
0449,Other peripheral nerve or ganglion decompression or lysis of adhesions
045,Cranial or peripheral nerve graft
046,Transposition of cranial and peripheral nerves
0471,Hypoglossal-facial anastomosis
0472,Accessory-facial anastomosis
0473,Accessory-hypoglossal anastomosis
0474,Other anastomosis of cranial or peripheral nerve
0475,Revision of previous repair of cranial and peripheral nerves
0476,Repair of old traumatic injury of cranial and peripheral nerves
0479,Other neuroplasty
0480,"Peripheral nerve injection, not otherwise specified"
0481,Injection of anesthetic into peripheral nerve for analgesia
0489,"Injection of other agent, except neurolytic"
0491,Neurectasis
0492,Implantation or replacement of peripheral neurostimulator lead(s)
0493,Removal of peripheral neurostimulator lead(s)
0499,Other operations on cranial and peripheral nerves
050,Division of sympathetic nerve or ganglion
0511,Biopsy of sympathetic nerve or ganglion
0519,Other diagnostic procedures on sympathetic nerves or ganglia
0521,Sphenopalatine ganglionectomy
0522,Cervical sympathectomy
0523,Lumbar sympathectomy
0524,Presacral sympathectomy
0525,Periarterial sympathectomy
0529,Other sympathectomy and ganglionectomy
0531,Injection of anesthetic into sympathetic nerve for analgesia
0532,Injection of neurolytic agent into sympathetic nerve
0539,Other injection into sympathetic nerve or ganglion
0581,Repair of sympathetic nerve or ganglion
0589,Other operations on sympathetic nerves or ganglia
059,Other operations on nervous system
0601,Aspiration of thyroid field
0602,Reopening of wound of thyroid field
0609,Other incision of thyroid field
0611,Closed [percutaneous] [needle] biopsy of thyroid gland
0612,Open biopsy of thyroid gland
0613,Biopsy of parathyroid gland
0619,Other diagnostic procedures on thyroid and parathyroid glands
062,Unilateral thyroid lobectomy
0631,Excision of lesion of thyroid
0639,Other partial thyroidectomy
064,Complete thyroidectomy
0650,"Substernal thyroidectomy, not otherwise specified"
0651,Partial substernal thyroidectomy
0652,Complete substernal thyroidectomy
066,Excision of lingual thyroid
067,Excision of thyroglossal duct or tract
0681,Complete parathyroidectomy
0689,Other parathyroidectomy
0691,Division of thyroid isthmus
0692,Ligation of thyroid vessels
0693,Suture of thyroid gland
0694,Thyroid tissue reimplantation
0695,Parathyroid tissue reimplantation
0698,Other operations on thyroid glands
0699,Other operations on parathyroid glands
0700,"Exploration of adrenal field, not otherwise specified"
0701,Unilateral exploration of adrenal field
0702,Bilateral exploration of adrenal field
0711,Closed [percutaneous] [needle] biopsy of adrenal gland
0712,Open biopsy of adrenal gland
0713,"Biopsy of pituitary gland, transfrontal approach"
0714,"Biopsy of pituitary gland, transsphenoidal approach"
0715,"Biopsy of pituitary gland, unspecified approach"
0716,Biopsy of thymus
0717,Biopsy of pineal gland
0719,"Other diagnostic procedures on adrenal glands, pituitary gland, pineal gland, and thymus"
0721,Excision of lesion of adrenal gland
0722,Unilateral adrenalectomy
0729,Other partial adrenalectomy
073,Bilateral adrenalectomy
0741,Incision of adrenal gland
0742,Division of nerves to adrenal glands
0743,Ligation of adrenal vessels
0744,Repair of adrenal gland
0745,Reimplantation of adrenal tissue
0749,"Other operations on adrenal glands, nerves, and vessels"
0751,Exploration of pineal field
0752,Incision of pineal gland
0753,Partial excision of pineal gland
0754,Total excision of pineal gland
0759,Other operations on pineal gland
0761,"Partial excision of pituitary gland, transfrontal approach"
0762,"Partial excision of pituitary gland, transsphenoidal approach"
0763,"Partial excision of pituitary gland, unspecified approach"
0764,"Total excision of pituitary gland, transfrontal approach"
0765,"Total excision of pituitary gland, transsphenoidal approach"
0768,"Total excision of pituitary gland, other specified approach"
0769,"Total excision of pituitary gland, unspecified approach"
0771,Exploration of pituitary fossa
0772,Incision of pituitary gland
0779,Other operations on hypophysis
0780,"Thymectomy, not otherwise specified"
0781,Other partial excision of thymus
0782,Other total excision of thymus
0783,Thoracoscopic partial excision of thymus
0784,Thoracoscopic total excision of thymus
0791,Exploration of thymus field
0792,Other incision of thymus
0793,Repair of thymus
0794,Transplantation of thymus
0795,Thoracoscopic incision of thymus
0798,Other and unspecified thoracoscopic operations on thymus
0799,Other and unspecified operations on thymus
0801,Incision of lid margin
0802,Severing of blepharorrhaphy
0809,Other incision of eyelid
0811,Biopsy of eyelid
0819,Other diagnostic procedures on eyelid
0820,"Removal of lesion of eyelid, not otherwise specified"
0821,Excision of chalazion
0822,Excision of other minor lesion of eyelid
0823,"Excision of major lesion of eyelid, partial-thickness"
0824,"Excision of major lesion of eyelid, full-thickness"
0825,Destruction of lesion of eyelid
0831,Repair of blepharoptosis by frontalis muscle technique with suture
0832,Repair of blepharoptosis by frontalis muscle technique with fascial sling
0833,Repair of blepharoptosis by resection or advancement of levator muscle or aponeurosis
0834,Repair of blepharoptosis by other levator muscle techniques
0835,Repair of blepharoptosis by tarsal technique
0836,Repair of blepharoptosis by other techniques
0837,Reduction of overcorrection of ptosis
0838,Correction of lid retraction
0841,Repair of entropion or ectropion by thermocauterization
0842,Repair of entropion or ectropion by suture technique
0843,Repair of entropion or ectropion with wedge resection
0844,Repair of entropion or ectropion with lid reconstruction
0849,Other repair of entropion or ectropion
0851,Canthotomy
0852,Blepharorrhaphy
0859,Other adjustment of lid position
0861,Reconstruction of eyelid with skin flap or graft
0862,Reconstruction of eyelid with mucous membrane flap or graft
0863,Reconstruction of eyelid with hair follicle graft
0864,Reconstruction of eyelid with tarsoconjunctival flap
0869,Other reconstruction of eyelid with flaps or grafts
0870,"Reconstruction of eyelid, not otherwise specified"
0871,"Reconstruction of eyelid involving lid margin, partial-thickness"
0872,"Other reconstruction of eyelid, partial-thickness"
0873,"Reconstruction of eyelid involving lid margin, full-thickness"
0874,"Other reconstruction of eyelid, full-thickness"
0881,Linear repair of laceration of eyelid or eyebrow
0882,"Repair of laceration involving lid margin, partial-thickness"
0883,"Other repair of laceration of eyelid, partial-thickness"
0884,"Repair of laceration involving lid margin, full-thickness"
0885,"Other repair of laceration of eyelid, full-thickness"
0886,Lower eyelid rhytidectomy
0887,Upper eyelid rhytidectomy
0889,Other eyelid repair
0891,Electrosurgical epilation of eyelid
0892,Cryosurgical epilation of eyelid
0893,Other epilation of eyelid
0899,Other operations on eyelids
090,Incision of lacrimal gland
